name,detector type,wavelength units,central wavelength,pivot wavelength,effective wavelength,Vega mag,Vega flux,Vega Jy,AB mag,AB flux,AB Jy,ST mag,ST flux,ST Jy
JWST_NIRCAM_F460M,photon,um,4.630,4.630,4.624,29.06880,2.3577e-12,168.56,25.73568,5.0784e-11,3630.8,21.10000,3.6308e-09,2.5958e+05
JWST_NIRCAM_F466N,photon,um,4.654,4.654,4.654,29.12328,2.2423e-12,162.03,25.74727,5.0245e-11,3630.8,21.10000,3.6308e-09,2.6237e+05
JWST_NIRCAM_F470N,photon,um,4.708,4.708,4.708,29.13628,2.2156e-12,163.79,25.77201,4.9113e-11,3630.8,21.10000,3.6308e-09,2.6841e+05
JWST_NIRCAM_F480M,photon,um,4.819,4.818,4.809,29.22973,2.0329e-12,157.39,25.82220,4.6894e-11,3630.8,21.10000,3.6308e-09,2.8111e+05
KEPLER_Kp,energy,angstrom,6416.836,6082.071,5781.206,21.41330,2.7207e-09,3357.1,21.32821,2.9425e-09,3630.8,21.10000,3.6308e-09,4480
NGTS_I,energy,nanometer,703.021,680.125,656.946,21.78673,1.9289e-09,2976.2,21.57089,2.3531e-09,3630.8,21.10000,3.6308e-09,5602.2
PS1_g,photon,angstrom,4866.459,4849.117,4775.618,20.74336,5.0426e-09,3955.1,20.83626,4.6291e-09,3630.8,21.10000,3.6308e-09,2847.8
PS1_i,photon,angstrom,7544.570,7534.956,7484.579,22.15651,1.3721e-09,2598.6,21.79335,1.9172e-09,3630.8,21.10000,3.6308e-09,6876.1
PS1_r,photon,angstrom,6214.623,6201.186,6129.505,21.51377,2.4802e-09,3181.4,21.37032,2.8306e-09,3630.8,21.10000,3.6308e-09,4657.2
PS1_w,photon,angstrom,6389.352,6285.962,5775.141,21.52368,2.4577e-09,3239.3,21.39981,2.7547e-09,3630.8,21.10000,3.6308e-09,4785.4
PS1_y,photon,angstrom,9633.257,9627.741,9603.037,22.86447,7.1484e-10,2210.2,22.32557,1.1743e-09,3630.8,21.10000,3.6308e-09,11226
PS1_z,photon,angstrom,8679.478,8674.179,8657.802,22.60614,9.0687e-10,2276,22.09909,1.4467e-09,3630.8,21.10000,3.6308e-09,9112.5
